time_s,time_diff,lat,lon,speed,roll,yaw,yaw_rad,yaw_unwrapped,yaw_rate,yaw_rate_deg,distance_m,total_distance
92.76917,0.7,36.9371337,35.5632662,0.043251354,1.082,186.872,3.26153168,3.26153168,0.006981317,0.4,0,0
92.76917,0.8,36.9371337,35.5632662,0.035541672,1.124,186.886,3.261776026,3.261776026,0.002443461,0.14,0,0
92.76917,0.9,36.9371337,35.5632662,0.035219237,1.152,186.878,3.2616364,3.2616364,-0.001396263,-0.08,0,0
92.76917,1,36.9371337,35.5632661,0.047649906,1.118,186.87,3.261496773,3.261496773,-0.001396263,-0.08,0.008887759,0.008887759
92.76917,1.1,36.9371337,35.5632661,0.04921959,1.084,186.852,3.261182614,3.261182614,-0.003141593,-0.18,0,0.008887759
92.76917,1.2,36.9371337,35.5632661,0.045338338,1.164,186.86,3.26132224,3.26132224,0.001396263,0.08,0,0.008887759
92.76917,1.3,36.9371337,35.5632661,0.052640506,1.312,186.914,3.262264718,3.262264718,0.009424778,0.54,0,0.008887759
92.76917,1.4,36.9371337,35.5632661,0.056151156,1.462,187.002,3.263800608,3.263800608,0.015358897,0.88,0,0.008887759
92.76917,1.5,36.9371337,35.5632661,0.046908704,1.596,187.074,3.265057245,3.265057245,0.012566371,0.72,0,0.008887759
92.76917,1.6,36.9371337,35.5632661,0.041051736,1.68,187.114,3.265755377,3.265755377,0.006981317,0.4,0,0.008887759
92.76917,1.7,36.9371337,35.5632661,0.040645703,1.644,187.12,3.265860096,3.265860096,0.001047198,0.06,0,0.008887759
92.76917,1.8,36.9371336,35.5632661,0.035278264,1.528,187.102,3.265545937,3.265545937,-0.003141593,-0.18,0.011119492,0.020007251
92.76917,1.9,36.9371336,35.5632661,0.033702341,1.408,187.058,3.264777992,3.264777992,-0.007679449,-0.44,0,0.020007251
92.76917,2,36.9371336,35.5632662,0.038456027,1.344,187.022,3.264149674,3.264149674,-0.006283185,-0.36,0.008887759,0.02889501
92.76917,2.1,36.9371336,35.5632662,0.039824229,1.316,187.024,3.26418458,3.26418458,0.000349066,0.02,0,0.02889501
92.76917,2.2,36.9371335,35.5632661,0.037456305,1.35,187.058,3.264777992,3.264777992,0.005934119,0.34,0.014235006,0.043130016
92.76917,2.3,36.9371335,35.5632661,0.040049786,1.442,187.102,3.265545937,3.265545937,0.007679449,0.44,0,0.043130016
