time_s,time_diff,lat,lon,speed,roll,yaw,yaw_rad,yaw_unwrapped,yaw_rate,yaw_rate_deg,distance_m,total_distance
501.457872,0.6,39.817629,30.120344,1.068982585,0.46,341.942,5.968013751,5.968013751,0.082728607,4.74,0,0
501.457872,0.7,39.8176332,30.1203414,1.704195499,0.058,342.574,5.979044232,5.979044232,0.110304809,6.32,0.517123464,0.517123464
501.457872,0.8,39.8176332,30.1203414,2.218462133,-0.224,343.496,5.995136167,5.995136167,0.160919357,9.22,0,0.517123464
501.457872,0.9,39.8176395,30.1203376,2.958760071,-0.172,344.596,6.014334789,6.014334789,0.191986218,11,0.772056221,1.289179685
501.457872,1,39.8176395,30.1203376,3.435759449,0.068,346.116,6.040863794,6.040863794,0.265290046,15.2,0,1.289179685
501.457872,1.1,39.8176476,30.1203332,4.1296134,0.458,347.834,6.07084855,6.07084855,0.299847565,17.18,0.97593147,2.265111155
501.457872,1.2,39.8176476,30.1203332,4.572499275,0.424,350.138,6.111060936,6.111060936,0.40212386,23.04,0,2.265111155
501.457872,1.3,39.8176578,30.1203283,5.238776112,0.272,352.652,6.154938514,6.154938514,0.438775774,25.14,1.208934111,3.474045266
501.457872,1.4,39.8176578,30.1203283,5.679021645,0.138,283.374,4.945809315,4.945809315,-12.09129199,-692.78,0,3.474045266
501.457872,1.5,39.8176698,30.1203233,6.297089386,-0.048,214.15,3.737622593,3.737622593,-12.08186721,-692.24,1.401007133,4.875052399
501.457872,1.6,39.8176698,30.1203233,6.698302555,-0.272,144.768,2.526678252,2.526678252,-12.10944342,-693.82,0,4.875052399
501.457872,1.7,39.8176832,30.1203186,7.211243057,-0.264,74.858,1.306518571,1.306518571,-12.2015968,-699.1,1.543136136,6.418188535
501.457872,1.8,39.8176832,30.1203186,7.500792599,-0.194,4.458,0.077806778,0.077806778,-12.28711793,-704,0,6.418188535
501.457872,1.9,39.8176979,30.1203146,7.922524452,-0.294,5.452,0.095155351,0.095155351,0.173485728,9.94,1.669884574,8.088073109
501.457872,2,39.8176979,30.1203146,8.166434097,-0.586,5.654,0.098680916,0.098680916,0.035255651,2.02,0,8.088073109
