time_s,time_diff,lat,lon,speed,roll,yaw,yaw_rad,yaw_unwrapped,yaw_rate,yaw_rate_deg,distance_m,total_distance
327.855219,0.6,39.8177892,30.120235,0.03445442,3.106,308.638,5.386749297,5.386749297,0.012915436,0.74,0,0
327.855219,0.7,39.8177892,30.120235,0.036234751,3.114,308.71,5.388005934,5.388005934,0.012566371,0.72,0,0
327.855219,0.8,39.8177892,30.1202351,0.033895006,3.118,308.788,5.389367291,5.389367291,0.013613568,0.78,0.008540713,0.008540713
327.855219,0.9,39.8177892,30.1202351,0.031555261,3.12,308.854,5.390519208,5.390519208,0.011519173,0.66,0,0.008540713
327.855219,1,39.8177892,30.1202351,0.030840468,3.126,308.922,5.391706032,5.391706032,0.011868239,0.68,0,0.008540713
327.855219,1.1,39.8177892,30.1202353,0.025892742,3.128,308.99,5.392892856,5.392892856,0.011868239,0.68,0.017081426,0.025622138
327.855219,1.2,39.8177892,30.1202353,0.020945015,3.128,309.064,5.394184399,5.394184399,0.012915436,0.74,0,0.025622138
327.855219,1.3,39.8177893,30.1202354,0.022309907,3.124,309.12,5.395161784,5.395161784,0.009773844,0.56,0.014020944,0.039643082
327.855219,1.4,39.8177893,30.1202354,0.023674799,3.116,309.174,5.396104262,5.396104262,0.009424778,0.54,0,0.039643082
327.855219,1.5,39.8177893,30.1202355,0.022100754,3.108,309.228,5.397046739,5.397046739,0.009424778,0.54,0.008540712,0.048183795
327.855219,1.6,39.8177893,30.1202355,0.024759644,3.1,309.28,5.397954311,5.397954311,0.009075712,0.52,0,0.048183795
327.855219,1.7,39.8177893,30.1202355,0.027418534,3.096,309.326,5.398757162,5.398757162,0.008028515,0.46,0,0.048183795
327.855219,1.8,39.8177893,30.1202357,0.026649119,3.1,309.38,5.39969964,5.39969964,0.009424778,0.54,0.017081426,0.06526522
327.855219,1.9,39.8177893,30.1202357,0.025879704,3.11,309.438,5.400711931,5.400711931,0.01012291,0.58,0,0.06526522
327.855219,2,39.8177893,30.1202357,0.028049226,3.118,309.5,5.401794035,5.401794035,0.010821041,0.62,0,0.06526522
327.855219,2.1,39.8177894,30.1202359,0.0307182,3.128,309.562,5.402876139,5.402876139,0.010821041,0.62,0.020381811,0.085647032
327.855219,2.2,39.8177894,30.1202359,0.033387174,3.128,309.622,5.403923337,5.403923337,0.010471976,0.6,0,0.085647032
327.855219,2.3,39.8177894,30.1202361,0.02710952,3.124,309.674,5.404830908,5.404830908,0.009075712,0.52,0.017081425,0.102728457
327.855219,2.4,39.8177894,30.1202361,0.020831866,3.12,309.726,5.405738479,5.405738479,0.009075712,0.52,0,0.102728457
327.855219,2.5,39.8177895,30.1202362,0.027985059,3.116,309.776,5.406611144,5.406611144,0.008726646,0.5,0.014020945,0.116749401
327.855219,2.6,39.8177895,30.1202362,0.034638801,3.114,309.834,5.407623435,5.407623435,0.01012291,0.58,0,0.116749401
327.855219,2.7,39.8177895,30.1202363,0.033475472,3.118,309.884,5.408496099,5.408496099,0.008726646,0.5,0.008540712,0.125290114
327.855219,2.8,39.8177895,30.1202363,0.039089249,3.114,309.938,5.409438577,5.409438577,0.009424778,0.54,0,0.125290114
327.855219,2.9,39.8177895,30.1202362,0.048397141,3.108,309.99,5.410346148,5.410346148,0.009075712,0.52,0.008540712,0.133830826
327.855219,3,39.8177895,30.120236,0.040323271,3.102,310.04,5.411218813,5.411218813,0.008726646,0.5,0.017081425,0.150912252
327.855219,3.1,39.8177895,30.120236,0.032249402,3.092,310.078,5.411882038,5.411882038,0.006632251,0.38,0,0.150912252
327.855219,3.2,39.8177896,30.1202358,0.031894562,3.084,310.126,5.412719796,5.412719796,0.00837758,0.48,0.02038181,0.171294062
327.855219,3.3,39.8177896,30.1202358,0.031539723,3.088,310.174,5.413557554,5.413557554,0.00837758,0.48,0,0.171294062
327.855219,3.4,39.8177897,30.1202357,0.026700879,3.094,310.228,5.414500032,5.414500032,0.009424778,0.54,0.014020945,0.185315007
327.855219,3.5,39.8177897,30.1202357,0.025812948,3.1,310.28,5.415407603,5.415407603,0.009075712,0.52,0,0.185315007
327.855219,3.6,39.8177897,30.1202357,0.024925018,3.108,310.334,5.416350081,5.416350081,0.009424778,0.54,0,0.185315007
327.855219,3.7,39.8177897,30.1202357,0.02346608,3.112,310.376,5.417083119,5.417083119,0.007330383,0.42,0,0.185315007
327.855219,3.8,39.8177898,30.1202356,0.02083557,3.106,310.418,5.417816157,5.417816157,0.007330383,0.42,0.014020945,0.199335952
327.855219,3.9,39.8177898,30.1202356,0.01899495,3.106,310.458,5.418514289,5.418514289,0.006981317,0.4,0,0.199335952
327.855219,4,39.8177898,30.1202355,0.017372211,3.104,310.502,5.419282234,5.419282234,0.007679449,0.44,0.008540713,0.207876665
327.855219,4.1,39.8177898,30.1202355,0.015749473,3.1,310.544,5.420015272,5.420015272,0.007330383,0.42,0,0.207876665
327.855219,4.2,39.8177898,30.1202355,0.014795782,3.102,310.59,5.420818124,5.420818124,0.008028515,0.46,0,0.207876665
327.855219,4.3,39.8177899,30.1202353,0.015223119,3.114,310.636,5.421620975,5.421620975,0.008028515,0.46,0.02038181,0.228258475
