time_s,time_diff,lat,lon,speed,roll,yaw,yaw_rad,yaw_unwrapped,yaw_rate,yaw_rate_deg,distance_m,total_distance
452.827692,0.7,36.9373252,35.5633607,0.050441755,0.376,183.85,3.20878783,3.20878783,-0.002792527,-0.16,0,0
452.827692,0.8,36.9373252,35.5633608,0.056856312,0.36,183.85,3.20878783,3.20878783,0,0,0.008887737,0.008887737
452.827692,0.9,36.9373252,35.5633608,0.061041651,0.362,183.868,3.209101989,3.209101989,0.003141593,0.18,0,0.008887737
452.827692,1,36.9373252,35.563361,0.072169249,0.368,183.9,3.209660494,3.209660494,0.005585054,0.32,0.017775473,0.02666321
452.827692,1.1,36.9373252,35.563361,0.080652077,0.366,183.942,3.210393533,3.210393533,0.007330383,0.42,0,0.02666321
452.827692,1.2,36.9373251,35.563361,0.082144251,0.354,183.996,3.21133601,3.21133601,0.009424778,0.54,0.011119492,0.037782702
452.827692,1.3,36.9373251,35.563361,0.082095855,0.35,184.04,3.212103955,3.212103955,0.007679449,0.44,0,0.037782702
452.827692,1.4,36.9373251,35.563361,0.07872986,0.352,184.084,3.2128719,3.2128719,0.007679449,0.44,0,0.037782702
452.827692,1.5,36.9373251,35.563361,0.068421607,0.356,184.124,3.213570032,3.213570032,0.006981317,0.4,0,0.037782702
452.827692,1.6,36.937325,35.5633609,0.056085733,0.36,184.158,3.214163444,3.214163444,0.005934119,0.34,0.014234992,0.052017694
452.827692,1.7,36.937325,35.5633609,0.050740513,0.366,184.174,3.214442697,3.214442697,0.002792527,0.16,0,0.052017694
452.827692,1.8,36.937325,35.563361,0.040289561,0.366,184.178,3.21451251,3.21451251,0.000698132,0.04,0.008887737,0.060905431
452.827692,1.9,36.937325,35.563361,0.033156208,0.342,184.198,3.214861576,3.214861576,0.003490659,0.2,0,0.060905431
452.827692,2,36.9373247,35.5633608,0.027542457,0.3,184.238,3.215559707,3.215559707,0.006981317,0.4,0.037798882,0.098704313
452.827692,2.1,36.9373247,35.5633608,0.023956327,0.264,184.288,3.216432372,3.216432372,0.008726646,0.5,0,0.098704313
452.827692,2.2,36.9373245,35.5633607,0.028466423,0.25,184.34,3.217339943,3.217339943,0.009075712,0.52,0.023949203,0.122653516
452.827692,2.3,36.9373245,35.5633607,0.038082251,0.242,184.406,3.21849186,3.21849186,0.011519173,0.66,0,0.122653516
452.827692,2.4,36.9373245,35.5633606,0.041276073,0.234,184.476,3.219713591,3.219713591,0.012217305,0.7,0.008887736,0.131541252
452.827692,2.5,36.9373245,35.5633606,0.042950293,0.238,184.534,3.220725882,3.220725882,0.01012291,0.58,0,0.131541252
452.827692,2.6,36.9373245,35.5633606,0.052625293,0.26,184.584,3.221598547,3.221598547,0.008726646,0.5,0,0.131541252
452.827692,2.7,36.9373245,35.5633606,0.054204066,0.274,184.634,3.222471211,3.222471211,0.008726646,0.5,0,0.131541252
452.827692,2.8,36.9373246,35.5633607,0.054320921,0.278,184.692,3.223483502,3.223483502,0.01012291,0.58,0.01423499,0.145776242
452.827692,2.9,36.9373246,35.5633607,0.060859782,0.282,184.732,3.224181634,3.224181634,0.006981317,0.4,0,0.145776242
452.827692,3,36.9373244,35.5633609,0.075094944,0.254,184.768,3.224809952,3.224809952,0.006283185,0.36,0.028469982,0.174246224
452.827692,3.1,36.9373244,35.5633609,0.081329326,0.194,184.806,3.225473177,3.225473177,0.006632251,0.38,0,0.174246224
452.827692,3.2,36.9373244,35.5633609,0.085753287,0.13,184.85,3.226241122,3.226241122,0.007679449,0.44,0,0.174246224
452.827692,3.3,36.9373244,35.5633609,0.091639167,0.05,184.872,3.226625095,3.226625095,0.003839724,0.22,0,0.174246224
452.827692,3.4,36.9373244,35.5633608,0.08654677,-0.03,184.834,3.22596187,3.22596187,-0.006632251,-0.38,0.008887736,0.183133961
452.827692,3.5,36.9373244,35.5633608,0.073758072,-0.042,184.716,3.223902381,3.223902381,-0.020594885,-1.18,0,0.183133961
452.827692,3.6,36.9373244,35.5633609,0.067428648,-0.032,184.506,3.22023719,3.22023719,-0.036651914,-2.1,0.008887736,0.192021697
452.827692,3.7,36.9373244,35.5633609,0.062909646,-0.054,184.274,3.216188026,3.216188026,-0.040491639,-2.32,0,0.192021697
452.827692,3.8,36.9373243,35.5633609,0.04540943,-0.082,184.056,3.212383208,3.212383208,-0.038048178,-2.18,0.011119492,0.203141189
452.827692,3.9,36.9373243,35.5633609,0.038887491,-0.076,183.89,3.209485961,3.209485961,-0.028972466,-1.66,0,0.203141189
452.827692,4,36.9373241,35.5633603,0.042804996,-0.054,183.812,3.208124605,3.208124605,-0.013613568,-0.78,0.057777846,0.260919036
452.827692,4.1,36.9373241,35.5633603,0.040263226,-0.014,183.85,3.20878783,3.20878783,0.006632251,0.38,0,0.260919036
452.827692,4.2,36.9373241,35.5633603,0.028954352,0.07,183.968,3.210847318,3.210847318,0.020594885,1.18,0,0.260919036
452.827692,4.3,36.9373241,35.5633603,0.030626692,0.206,184.114,3.213395499,3.213395499,0.025481807,1.46,0,0.260919036
452.827692,4.4,36.937324,35.5633603,0.043105428,0.408,184.234,3.215489894,3.215489894,0.020943951,1.2,0.011119493,0.272038529
452.827692,4.5,36.937324,35.5633603,0.045144721,0.602,184.298,3.216606905,3.216606905,0.011170107,0.64,0,0.272038529
452.827692,4.6,36.937324,35.5633603,0.040827354,0.688,184.278,3.216257839,3.216257839,-0.003490659,-0.2,0,0.272038529
452.827692,4.7,36.937324,35.5633603,0.045277092,0.678,184.168,3.214337977,3.214337977,-0.019198622,-1.1,0,0.272038529
452.827692,4.8,36.937324,35.5633603,0.050570339,0.66,183.99,3.211231291,3.211231291,-0.031066861,-1.78,0,0.272038529
452.827692,4.9,36.937324,35.5633603,0.045057189,0.61,183.82,3.208264231,3.208264231,-0.029670597,-1.7,0,0.272038529
452.827692,5,36.937324,35.5633604,0.047528663,0.498,183.686,3.20592549,3.20592549,-0.023387412,-1.34,0.008887737,0.280926266
452.827692,5.1,36.937324,35.5633604,0.056356796,0.408,183.6,3.204424507,3.204424507,-0.015009832,-0.86,0,0.280926266
452.827692,5.2,36.9373242,35.5633604,0.059476451,0.354,183.474,3.202225392,3.202225392,-0.021991149,-1.26,0.022238986,0.303165251
