timestamp,ATT.Roll,lat,lon,roll_std_5,roll_mean_5
1012.505827,2.66,39.8170326,30.1207063,0.016733201,2.646
1012.605827,2.65,39.8170326,30.1207063,0.0083666,2.652
1012.705827,2.65,39.8170326,30.1207063,0.005477226,2.654
1012.805827,2.65,39.8170326,30.1207063,0.005477226,2.654
1012.905827,2.65,39.8170326,30.1207063,0.004472136,2.652
1013.005827,2.65,39.8170326,30.1207063,0,2.65
1013.105827,2.65,39.8170328,30.1207064,0,2.65
1013.205827,2.64,39.8170329,30.1207064,0.004472136,2.648
1013.305827,2.64,39.8170329,30.1207064,0.005477226,2.646
1013.405827,2.65,39.8170331,30.1207065,0.005477226,2.646
1013.505827,2.65,39.8170331,30.1207065,0.005477226,2.646
1013.605827,2.67,39.8170332,30.1207065,0.012247449,2.65
1013.705827,2.67,39.8170332,30.1207065,0.013416408,2.656
1013.805827,2.66,39.8170333,30.1207064,0.01,2.66
1013.905827,2.64,39.8170333,30.1207064,0.013038405,2.658
1014.005827,2.63,39.8170334,30.1207064,0.018165902,2.654
1014.105827,2.64,39.8170334,30.1207064,0.016431677,2.648
1014.205827,2.66,39.8170335,30.1207064,0.013416408,2.646
1014.305827,2.67,39.8170335,30.1207064,0.016431677,2.648
1014.405827,2.68,39.8170335,30.1207062,0.020736441,2.656
1014.505827,2.67,39.8170335,30.1207062,0.015165751,2.664
1014.605827,2.64,39.8170335,30.1207061,0.015165751,2.664
1014.705827,2.63,39.8170335,30.1207061,0.021679483,2.658
1014.805827,2.63,39.8170336,30.1207061,0.023452079,2.65
1014.905827,2.65,39.8170336,30.1207061,0.016733201,2.644
1015.005827,2.67,39.8170337,30.1207061,0.016733201,2.644
1015.105827,2.67,39.8170337,30.1207061,0.02,2.65
1015.205827,2.65,39.8170337,30.1207061,0.016733201,2.654
1015.305827,2.63,39.8170337,30.1207061,0.016733201,2.654
1015.405827,2.61,39.8170338,30.120706,0.02607681,2.646
1015.505827,2.61,39.8170338,30.120706,0.02607681,2.634
1015.605827,2.63,39.8170339,30.120706,0.016733201,2.626
1015.705827,2.63,39.8170339,30.120706,0.010954451,2.622
1015.805827,2.62,39.817034,30.120706,0.01,2.62
1015.905827,2.6,39.817034,30.120706,0.013038405,2.618
1016.005827,2.56,39.817034,30.120706,0.029495762,2.608
1016.105827,2.54,39.817034,30.120706,0.038729833,2.59
1016.205827,2.54,39.817034,30.120706,0.036331804,2.572
1016.305827,2.57,39.817034,30.120706,0.024899799,2.562
1016.405827,2.62,39.8170339,30.1207061,0.032863353,2.566
1016.505827,2.63,39.8170339,30.1207061,0.043011626,2.58
1016.605827,2.62,39.8170339,30.1207061,0.039115214,2.596
1016.705827,2.6,39.8170339,30.1207061,0.023874673,2.608
1016.805827,2.57,39.817034,30.1207061,0.023874673,2.608
1016.905827,2.58,39.817034,30.1207061,0.025495098,2.6
1017.005827,2.6,39.817034,30.1207061,0.019493589,2.594
1017.105827,2.62,39.8170342,30.1207062,0.019493589,2.594
1017.205827,2.61,39.8170342,30.1207063,0.020736441,2.596
1017.305827,2.59,39.8170342,30.1207063,0.015811388,2.6
1017.405827,2.58,39.8170342,30.1207065,0.015811388,2.6
1017.505827,2.58,39.8170342,30.1207065,0.018165902,2.596
1017.605827,2.61,39.8170341,30.1207065,0.015165751,2.594
1017.705827,2.62,39.8170341,30.1207065,0.018165902,2.596
1017.805827,2.61,39.8170342,30.1207065,0.018708287,2.6
1017.905827,2.61,39.8170342,30.1207065,0.015165751,2.606
1018.005827,2.58,39.8170342,30.1207065,0.015165751,2.606
1018.105827,2.55,39.8170343,30.1207065,0.028809721,2.594
1018.205827,2.54,39.8170345,30.1207065,0.032710854,2.578
1018.305827,2.54,39.8170345,30.1207065,0.030495901,2.564
1018.405827,2.55,39.8170347,30.1207065,0.016431677,2.552
1018.505827,2.56,39.8170347,30.1207065,0.0083666,2.548
1018.605827,2.58,39.8170349,30.1207065,0.016733201,2.554
1018.705827,2.59,39.8170349,30.1207065,0.020736441,2.564
1018.805827,2.57,39.8170351,30.1207066,0.015811388,2.57
1018.905827,2.57,39.8170351,30.1207066,0.011401754,2.574
1019.005827,2.6,39.8170351,30.1207066,0.013038405,2.582
1019.105827,2.63,39.8170352,30.1207067,0.024899799,2.592
1019.205827,2.66,39.8170353,30.1207068,0.039115214,2.606
1019.305827,2.66,39.8170353,30.1207068,0.039115214,2.624
1019.405827,2.61,39.8170356,30.1207069,0.027748874,2.632
1019.505827,2.56,39.8170356,30.1207069,0.041593269,2.624
1019.605827,2.53,39.8170357,30.1207069,0.058566202,2.604
1019.705827,2.55,39.8170357,30.1207069,0.052630789,2.582
1019.805827,2.59,39.8170358,30.120707,0.031937439,2.568
1019.905827,2.61,39.8170358,30.120707,0.031937439,2.568
1020.005827,2.63,39.8170358,30.120707,0.041472883,2.582
1020.105827,2.59,39.8170358,30.1207071,0.029664794,2.594
1020.205827,2.52,39.8170359,30.1207072,0.041472883,2.588
1020.305827,2.49,39.8170359,30.1207072,0.060166436,2.568
1020.405827,2.5,39.8170359,30.1207072,0.061073726,2.546
1020.505827,2.55,39.8170359,30.1207072,0.040620192,2.53
1020.605827,2.63,39.817036,30.1207073,0.056302753,2.538
1020.705827,2.67,39.817036,30.1207073,0.079498428,2.568
1020.805827,2.69,39.8170362,30.1207074,0.080746517,2.608
1020.905827,2.66,39.8170362,30.1207074,0.054772256,2.64
1021.005827,2.62,39.8170362,30.1207074,0.028809721,2.654
1021.105827,2.62,39.8170363,30.1207075,0.031144823,2.652
1021.205827,2.65,39.8170364,30.1207075,0.029495762,2.648
1021.305827,2.67,39.8170364,30.1207075,0.023021729,2.644
1021.405827,2.7,39.8170365,30.1207075,0.034205263,2.652
1021.505827,2.69,39.8170365,30.1207075,0.032093613,2.666
1021.605827,2.64,39.8170367,30.1207075,0.025495098,2.67
1021.705827,2.62,39.8170367,30.1207075,0.033615473,2.664
