time_s,time_diff,lat,lon,speed,roll,yaw,yaw_rad,yaw_unwrapped,yaw_rate,yaw_rate_deg,distance_m,total_distance
44.302042,0.6,39.8170384,30.1207209,0.103642717,0.974,345.49,6.029938033,6.029938033,-0.001396263,-0.08,0,0
44.302042,0.7,39.8170384,30.1207209,0.094951154,0.964,345.49,6.029938033,6.029938033,0,0,0,0
44.302042,0.8,39.8170383,30.120721,0.094947235,0.944,345.492,6.029972939,6.029972939,0.000349066,0.02,0.014021001,0.014021001
44.302042,0.9,39.8170384,30.1207209,0.098290931,0.948,345.504,6.030182379,6.030182379,0.002094395,0.12,0.014021001,0.028042002
44.302042,1,39.8170384,30.1207209,0.095509829,0.982,345.534,6.030705978,6.030705978,0.005235988,0.3,0,0.028042002
44.302042,1.1,39.8170384,30.1207209,0.084960042,1.012,345.566,6.031264483,6.031264483,0.005585054,0.32,0,0.028042002
44.302042,1.2,39.8170384,30.1207209,0.074410255,1.034,345.602,6.031892801,6.031892801,0.006283185,0.36,0,0.028042002
44.302042,1.3,39.8170384,30.1207209,0.063932041,1.064,345.638,6.03252112,6.03252112,0.006283185,0.36,0,0.028042002
44.302042,1.4,39.8170384,30.1207209,0.050106212,1.104,345.664,6.032974906,6.032974906,0.004537856,0.26,0,0.028042002
44.302042,1.5,39.8170385,30.1207208,0.048532832,1.12,345.682,6.033289065,6.033289065,0.003141593,0.18,0.014021002,0.042063004
44.302042,1.6,39.8170385,30.1207208,0.054728138,1.116,345.698,6.033568318,6.033568318,0.002792527,0.16,0,0.042063004
44.302042,1.7,39.8170385,30.1207208,0.060923443,1.114,345.702,6.033638131,6.033638131,0.000698132,0.04,0,0.042063004
44.302042,1.8,39.8170385,30.1207208,0.0670538,1.114,345.7,6.033603224,6.033603224,-0.000349066,-0.02,0,0.042063004
44.302042,1.9,39.8170385,30.1207208,0.066067659,1.1,345.7,6.033603224,6.033603224,0,0,0,0.042063004
44.302042,2,39.8170385,30.1207208,0.052829067,1.068,345.694,6.033498504,6.033498504,-0.001047198,-0.06,0,0.042063004
44.302042,2.1,39.8170385,30.1207208,0.047317509,1.034,345.674,6.033149439,6.033149439,-0.003490659,-0.2,0,0.042063004
44.302042,2.2,39.8170385,30.1207208,0.04180595,1.006,345.652,6.032765466,6.032765466,-0.003839724,-0.22,0,0.042063004
