time_s,time_diff,lat,lon,speed,roll,yaw,yaw_rad,yaw_unwrapped,yaw_rate,yaw_rate_deg,distance_m,total_distance
128.446859,0.6,36.9373468,35.5632948,0.049403753,-0.026,99.23,1.731890217,1.731890217,0.001396263,0.08,0,0
128.446859,0.7,36.9373468,35.5632948,0.045322662,0.076,99.24,1.73206475,1.73206475,0.001745329,0.1,0,0
128.446859,0.8,36.9373469,35.5632947,0.033085308,0.16,99.198,1.731331711,1.731331711,-0.007330383,-0.42,0.014234989,0.014234989
128.446859,0.9,36.9373469,35.5632947,0.030223829,0.17,99.134,1.730214701,1.730214701,-0.011170107,-0.64,0,0.014234989
128.446859,1,36.9373469,35.5632947,0.02736235,0.142,99.028,1.728364652,1.728364652,-0.01850049,-1.06,0,0.014234989
128.446859,1.1,36.9373469,35.5632948,0.039060548,0.12,98.866,1.725537218,1.725537218,-0.028274334,-1.62,0.008887734,0.023122723
128.446859,1.2,36.9373469,35.5632948,0.050758745,0.08,98.722,1.723023944,1.723023944,-0.025132741,-1.44,0,0.023122723
128.446859,1.3,36.9373464,35.5632952,0.055921554,0.036,98.648,1.721732401,1.721732401,-0.012915436,-0.74,0.065992022,0.089114745
128.446859,1.4,36.9373464,35.5632952,0.061084363,0.052,98.602,1.720929549,1.720929549,-0.008028515,-0.46,0,0.089114745
128.446859,1.5,36.9373464,35.5632952,0.064285377,0.08,98.524,1.719568192,1.719568192,-0.013613568,-0.78,0,0.089114745
128.446859,1.6,36.9373464,35.5632952,0.055710591,0.028,98.364,1.716775665,1.716775665,-0.027925268,-1.6,0,0.089114745
128.446859,1.7,36.9373464,35.5632952,0.047135805,-0.048,98.196,1.713843512,1.713843512,-0.029321531,-1.68,0,0.089114745
128.446859,1.8,36.9373464,35.563295,0.048524266,-0.084,98.068,1.711609491,1.711609491,-0.022340214,-1.28,0.017775468,0.106890213
128.446859,1.9,36.9373464,35.563295,0.049912727,-0.126,97.946,1.709480189,1.709480189,-0.021293017,-1.22,0,0.106890213
128.446859,2,36.9373464,35.5632951,0.043636374,-0.164,97.882,1.708363178,1.708363178,-0.011170107,-0.64,0.008887734,0.115777947
128.446859,2.1,36.9373464,35.5632951,0.040623576,-0.148,97.894,1.708572618,1.708572618,0.002094395,0.12,0,0.115777947
128.446859,2.2,36.9373464,35.5632951,0.037610778,-0.106,97.884,1.708398085,1.708398085,-0.001745329,-0.1,0,0.115777947
128.446859,2.3,36.937346,35.5632953,0.031851888,-0.1,97.826,1.707385794,1.707385794,-0.01012291,-0.58,0.047898405,0.163676352
128.446859,2.4,36.9373459,35.5632954,0.026963286,-0.138,97.76,1.706233877,1.706233877,-0.011519173,-0.66,0.01423499,0.177911342
128.446859,2.5,36.9373459,35.5632954,0.031701294,-0.182,97.688,1.70497724,1.70497724,-0.012566371,-0.72,0,0.177911342
128.446859,2.6,36.9373459,35.5632953,0.035893623,-0.196,97.608,1.703580976,1.703580976,-0.013962634,-0.8,0.008887734,0.186799076
128.446859,2.7,36.9373459,35.5632953,0.040085952,-0.202,97.552,1.702603592,1.702603592,-0.009773844,-0.56,0,0.186799076
128.446859,2.8,36.937346,35.5632954,0.040768643,-0.228,97.506,1.70180074,1.70180074,-0.008028515,-0.46,0.01423499,0.201034066
128.446859,2.9,36.937346,35.5632954,0.040581046,-0.252,97.464,1.701067702,1.701067702,-0.007330383,-0.42,0,0.201034066
128.446859,3,36.937346,35.5632954,0.040393449,-0.262,97.428,1.700439384,1.700439384,-0.006283185,-0.36,0,0.201034066
128.446859,3.1,36.937346,35.5632954,0.037813546,-0.268,97.416,1.700229944,1.700229944,-0.002094395,-0.12,0,0.201034066
128.446859,3.2,36.937346,35.5632954,0.035233643,-0.268,97.4,1.699950691,1.699950691,-0.002792527,-0.16,0,0.201034066
128.446859,3.3,36.9373456,35.5632957,0.030895019,-0.268,97.376,1.699531812,1.699531812,-0.00418879,-0.24,0.051857653,0.25289172
128.446859,3.4,36.9373455,35.5632959,0.027506315,-0.258,97.35,1.699078027,1.699078027,-0.004537856,-0.26,0.020966888,0.273858608
128.446859,3.5,36.9373455,35.5632959,0.024117612,-0.23,97.332,1.698763868,1.698763868,-0.003141593,-0.18,0,0.273858608
128.446859,3.6,36.9373455,35.5632959,0.025148735,-0.194,97.338,1.698868587,1.698868587,0.001047198,0.06,0,0.273858608
128.446859,3.7,36.9373455,35.5632959,0.026179858,-0.16,97.36,1.69925256,1.69925256,0.003839724,0.22,0,0.273858608
128.446859,3.8,36.9373455,35.5632959,0.029672196,-0.138,97.364,1.699322373,1.699322373,0.000698132,0.04,0,0.273858608
128.446859,3.9,36.9373455,35.5632959,0.032214612,-0.148,97.366,1.699357279,1.699357279,0.000349066,0.02,0,0.273858608
128.446859,4,36.9373455,35.5632958,0.037812117,-0.172,97.336,1.698833681,1.698833681,-0.005235988,-0.3,0.008887735,0.282746342
128.446859,4.1,36.9373455,35.5632958,0.04192778,-0.172,97.242,1.697193071,1.697193071,-0.016406095,-0.94,0,0.282746342
128.446859,4.2,36.9373455,35.5632958,0.046043443,-0.166,97.162,1.695796808,1.695796808,-0.013962634,-0.8,0,0.282746342
128.446859,4.3,36.9373451,35.563296,0.044634382,-0.186,97.186,1.696215687,1.696215687,0.00418879,0.24,0.047898404,0.330644747
128.446859,4.4,36.9373452,35.5632961,0.047813367,-0.28,97.322,1.698589335,1.698589335,0.023736478,1.36,0.01423499,0.344879737
