timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll,AHR2.Yaw,GPS[0].Spd
1064932.552,NaN,NaN,4.01,345.33,NaN
1065032.552,398171477,301204346,3.15,344.88,0.8788504004478455
1065132.552,398171477,301204346,1.24,344.32,0.8788504004478455
1065232.552,398171471,301204330,0.73,344.27,0.7182514071464539
1065332.552,398171471,301204330,2.43,345.32,0.7182514071464539
1065432.552,398171466,301204321,4.01,346.85,0.34573110938072205
1065532.552,398171466,301204321,3.68,347.91,0.34573110938072205
1065632.552,398171466,301204319,2.24,347.45,0.13709121942520142
1065732.552,398171466,301204319,2.08,346.09,0.13709121942520142
1065832.552,398171470,301204320,2.63,345.51,0.15678010880947113
1065932.552,398171470,301204320,2.59,345.53,0.15678010880947113
1066032.552,398171472,301204322,2.61,345.88,0.13618002831935883
1066132.552,398171472,301204322,2.95,346.66,0.13618002831935883
1066232.552,398171475,301204323,2.98,347,0.17538529634475708
1066332.552,398171475,301204323,2.39,346.92,0.17538529634475708
1066432.552,398171477,301204323,1.9,346.52,0.050695169717073454
1066532.552,398171477,301204323,1.64,345.86,0.050695169717073454
1066632.552,398171478,301204320,1.83,345.83,0.05239275097846985
1066732.552,398171478,301204320,2.14,346.28,0.05239275097846985
1066832.552,398171479,301204318,2.18,346.62,0.009999999776482582
1066932.552,398171479,301204318,2.22,346.95,0.009999999776482582
1067032.552,398171481,301204315,2.26,347.05,0.04295346513390541
1067132.552,398171481,301204315,2.27,346.93,0.04295346513390541
1067232.552,398171482,301204312,2.24,346.8,0.013416407629847527
1067332.552,398171482,301204312,2.21,346.72,0.013416407629847527
1067432.552,398171483,301204312,2.23,346.71,0.037215590476989746
1067532.552,398171483,301204312,2.23,346.64,0.037215590476989746
1067632.552,398171483,301204313,2.22,346.55,0.12184006720781326
1067732.552,398171483,301204313,2.22,346.46,0.12184006720781326
1067832.552,398171482,301204313,2.21,346.42,0.027073971927165985
1067932.552,398171482,301204313,2.19,346.33,0.027073971927165985
1068032.552,398171482,301204311,2.2,346.26,0.025495098903775215
1068132.552,398171482,301204311,2.19,346.19,0.025495098903775215
1068232.552,398171483,301204309,2.18,346.13,0.0430464893579483
1068332.552,398171483,301204309,2.17,346.04,0.0430464893579483
1068432.552,398171483,301204306,2.16,345.99,0.027658633887767792
1068532.552,398171483,301204306,2.19,345.93,0.027658633887767792
1068632.552,398171482,301204304,2.18,345.88,0.020518286153674126
1068732.552,398171482,301204304,2.16,345.78,0.020518286153674126
1068832.552,398171482,301204304,2.16,345.73,0.020518286153674126
1068932.552,398171481,301204302,2.16,345.66,0.02340940199792385
1069032.552,398171480,301204300,2.15,345.6,0.03080584481358528
1069132.552,398171480,301204300,2.17,345.52,0.03080584481358528
1069232.552,398171480,301204300,2.16,345.48,0.03080584481358528
1069332.552,398171481,301204299,2.1,345.4,0.05748913064599037
1069432.552,398171481,301204297,2.1,345.34,0.06161980703473091
1069532.552,398171481,301204297,2.04,345.28,0.06161980703473091
1069632.552,398171482,301204294,2.04,345.23,0.018439089879393578
1069732.552,398171482,301204294,2.1,345.13,0.018439089879393578
1069832.552,398171483,301204293,2.06,345.12,0.0353553369641304
1069932.552,398171483,301204293,2.1,345.11,0.0353553369641304
1070032.552,398171484,301204292,2.16,345.06,0.02451530285179615
1070132.552,398171484,301204292,2.1,345,0.02451530285179615
1070232.552,398171487,301204294,2.09,344.95,0.13648810982704163
1070332.552,398171487,301204294,2.12,344.88,0.13648810982704163
1070432.552,398171490,301204297,2.11,344.86,0.03244996443390846
1070532.552,398171490,301204297,2.15,344.81,0.03244996443390846
1070632.552,398171490,301204297,2.12,344.78,0.03244996443390846
1070732.552,398171490,301204297,2.07,344.67,0.03244996443390846
1070832.552,398171491,301204298,2.11,344.65,0.004999999888241291
1070932.552,398171491,301204298,2.07,344.64,0.004999999888241291
1071032.552,398171493,301204300,2.03,344.55,0.07261542975902557
1071132.552,398171493,301204300,2.15,344.48,0.07261542975902557
1071232.552,398171495,301204302,2.01,344.5,0.03956008329987526
1071332.552,398171495,301204302,2.01,344.41,0.03956008329987526
1071432.552,398171495,301204304,2.12,344.34,0.02121320553123951
1071532.552,398171495,301204304,2.08,344.34,0.02121320553123951
1071632.552,398171497,301204305,1.96,344.31,0.014317820779979229
1071732.552,398171497,301204305,2.05,344.17,0.014317820779979229
1071832.552,398171497,301204306,2.09,344.17,0.01603122055530548
1071932.552,398171497,301204306,1.85,344.18,0.01603122055530548
1072032.552,398171498,301204307,2.03,344.09,0.00824621133506298
1072132.552,398171498,301204307,2,344.09,0.00824621133506298
1072232.552,398171499,301204308,1.92,344.09,0.04318564757704735
1072332.552,398171499,301204308,1.99,343.97,0.04318564757704735
1072432.552,398171500,301204308,1.99,343.96,0.01581138931214809
1072532.552,398171500,301204308,1.9,343.94,0.01581138931214809
1072632.552,398171501,301204309,1.95,343.87,0.015811389312148094
1072732.552,398171501,301204309,1.93,343.83,0.015811389312148094
1072832.552,398171501,301204311,1.89,343.82,0.006708203814923763
1072932.552,398171501,301204311,1.93,343.75,0.006708203814923763
1073032.552,398171501,301204312,1.89,343.72,0.05578530579805374
1073132.552,398171501,301204312,1.86,343.67,0.05578530579805374
1073232.552,398171502,301204313,1.89,343.63,0.01702938787639141
1073332.552,398171502,301204313,1.85,343.61,0.01702938787639141
1073432.552,398171502,301204314,1.83,343.57,0.008544004522264004
1073532.552,398171502,301204314,1.86,343.51,0.008544004522264004
1073632.552,398171503,301204315,1.84,343.51,0.016278821974992752
1073732.552,398171503,301204315,1.81,343.46,0.016278821974992752
1073832.552,398171504,301204316,1.81,343.41,0.0450998917222023
1073932.552,398171504,301204316,1.79,343.4,0.0450998917222023
1074032.552,398171505,301204316,1.78,343.37,0.02617250569164753
1074132.552,398171505,301204316,1.76,343.31,0.02617250569164753
1074232.552,398171505,301204316,1.74,343.29,0.027018513530492783
1074332.552,398171505,301204316,1.75,343.26,0.027018513530492783
1074432.552,398171505,301204315,1.75,343.24,0.028231190517544746
1074532.552,398171505,301204315,1.74,343.2,0.028231190517544746
1074632.552,398171506,301204314,1.74,343.18,0.060216281563043594
1074732.552,398171506,301204314,1.73,343.15,0.060216281563043594
1074832.552,398171506,301204313,1.72,343.12,0.04901020601391792
1074932.552,398171506,301204313,1.72,343.09,0.04901020601391792
1075032.552,398171507,301204313,1.7,343.07,0.00412310566753149
1075132.552,398171507,301204313,1.69,343.04,0.00412310566753149
1075232.552,398171507,301204312,1.69,343.02,0.014000000432133675
1075332.552,398171507,301204312,1.67,343,0.014000000432133675
1075432.552,398171508,301204312,1.67,342.98,0.0259422454982996
1075532.552,398171508,301204313,1.65,342.94,0.05517246201634407
1075632.552,398171508,301204313,1.64,342.93,0.05517246201634407
1075732.552,398171508,301204313,1.64,342.91,0.05517246201634407
1075832.552,398171508,301204314,1.63,342.89,0.016124516725540168
1075932.552,398171508,301204314,1.61,342.86,0.016124516725540168
1076032.552,398171508,301204315,1.61,342.85,0.04455333948135376
1076132.552,398171508,301204315,1.61,342.83,0.04455333948135376
1076232.552,398171508,301204315,1.61,342.81,0.04455333948135376
1076332.552,398171508,301204315,1.59,342.79,0.02202271670103073
1076432.552,398171508,301204315,1.59,342.77,0.04052159935235977
1076532.552,398171508,301204315,1.58,342.75,0.04052159935235977
1076632.552,398171508,301204316,1.59,342.74,0.12637247145175934
1076732.552,398171508,301204316,1.57,342.71,0.12637247145175934
1076832.552,398171508,301204318,1.56,342.69,0.045793015509843826
1076932.552,398171508,301204318,1.56,342.68,0.045793015509843826
1077032.552,398171509,301204318,1.55,342.66,0.02865309827029705
1077132.552,398171509,301204318,1.55,342.64,0.02865309827029705
1077232.552,398171510,301204319,1.56,342.63,0.027294687926769257
1077332.552,398171510,301204319,1.55,342.61,0.027294687926769257
1077432.552,398171509,301204319,1.55,342.59,0.03679674118757248
1077532.552,398171509,301204319,1.57,342.58,0.03679674118757248
1077632.552,398171509,301204318,1.56,342.56,0.012649111449718475
1077732.552,398171509,301204318,1.56,342.53,0.012649111449718475
1077832.552,398171509,301204319,1.57,342.52,0.06449806690216064
1077932.552,398171509,301204319,1.58,342.51,0.020591260865330696
1078032.552,398171509,301204319,1.58,342.5,0.020591260865330696
1078132.552,398171509,301204319,1.57,342.48,0.020591260865330696
1078232.552,398171508,301204320,1.57,342.47,0.03590264543890953
1078332.552,398171508,301204320,1.58,342.46,0.03590264543890953
1078432.552,398171507,301204320,1.59,342.45,0.04176123067736626
1078532.552,398171507,301204320,1.57,342.44,0.04176123067736626
1078632.552,398171508,301204319,1.58,342.43,0.03465544804930687
1078732.552,398171508,301204319,1.58,342.42,0.03465544804930687
1078832.552,398171510,301204317,1.57,342.41,0.05608921870589256
1078932.552,398171510,301204316,1.58,342.39,0.07500667124986649
1079032.552,398171510,301204316,1.58,342.39,0.07500667124986649
1079132.552,398171510,301204316,1.58,342.37,0.07500667124986649
1079232.552,398171510,301204315,1.57,342.35,0.035227831453084946
1079332.552,398171510,301204315,1.57,342.35,0.035227831453084946
1079432.552,398171511,301204314,1.57,342.34,0.052430909126996994
1079532.552,398171511,301204314,1.58,342.33,0.052430909126996994
1079632.552,398171511,301204312,1.57,342.32,0.015524175018072128
1079732.552,398171511,301204312,1.57,342.3,0.015524175018072128
1079832.552,398171512,301204311,1.57,342.3,0.02692582458257675
1079932.552,398171512,301204311,1.57,342.29,0.02692582458257675
1080032.552,398171513,301204311,1.56,342.27,0.05440588295459747
1080132.552,398171513,301204311,1.56,342.26,0.05440588295459747
1080232.552,398171514,301204312,1.56,342.26,0.04130375385284424
1080332.552,398171514,301204312,1.59,342.25,0.04130375385284424
1080432.552,398171515,301204311,1.59,342.26,0.03354102000594139
1080532.552,398171515,301204311,1.57,342.24,0.03354102000594139
1080632.552,398171515,301204311,1.57,342.22,0.02617250569164753
1080732.552,398171515,301204311,1.59,342.23,0.02617250569164753
1080832.552,398171516,301204311,1.58,342.22,0.03452535346150398
1080932.552,398171516,301204310,1.58,342.19,0.02865309827029705
1081032.552,398171516,301204310,1.6,342.2,0.02865309827029705
1081132.552,398171516,301204310,1.58,342.19,0.02865309827029705
1081232.552,398171516,301204309,1.57,342.16,0.019798990339040756
1081332.552,398171516,301204309,1.6,342.18,0.019798990339040756
1081432.552,398171517,301204309,1.6,342.18,0.010630146600306034
1081532.552,398171517,301204309,1.58,342.14,0.010630146600306034
1081632.552,398171517,301204308,1.59,342.14,0.06236185133457184
1081732.552,398171517,301204308,1.62,342.16,0.06236185133457184
1081832.552,398171517,301204307,1.63,342.16,0.02408318966627121
1081932.552,398171517,301204307,1.62,342.13,0.042438190430402756
