timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll,AHR2.Yaw,GPS[0].Spd
44302.042,NaN,NaN,0.94,345.52,NaN
44402.042,398170384,301207208,0.98,345.54,0.15065856277942657
44502.042,398170384,301207208,1.05,345.51,0.15065856277942657
44602.042,398170385,301207207,1,345.49,0.07657676190137863
44702.042,398170385,301207207,0.89,345.48,0.07657676190137863
44802.042,398170384,301207209,0.91,345.47,0.1072007492184639
44902.042,398170384,301207209,1.02,345.5,0.1072007492184639
45002.042,398170384,301207209,1,345.51,0.1072007492184639
45102.042,398170383,301207210,0.9,345.5,0.07655716687440872
45202.042,398170384,301207209,0.91,345.54,0.09329523891210556
45302.042,398170384,301207209,1.08,345.62,0.09329523891210556
45402.042,398170384,301207209,1.17,345.66,0.05445181578397751
45502.042,398170384,301207209,1.11,345.69,0.05445181578397751
45602.042,398170384,301207209,1.05,345.68,0.02416609413921833
45702.042,398170384,301207209,1.11,345.67,0.02416609413921833
45802.042,398170385,301207208,1.16,345.71,0.08542834222316742
45902.042,398170385,301207208,1.15,345.74,0.08542834222316742
46002.042,398170385,301207208,1.1,345.71,0.08542834222316742
46102.042,398170385,301207208,1.05,345.67,0.05481788143515587
46202.042,398170385,301207208,1.04,345.67,0.019235385581851006
46302.042,398170385,301207208,1,345.68,0.019235385581851006
46402.042,398170385,301207208,0.98,345.64,0.05787054821848869
46502.042,398170385,301207208,0.96,345.6,0.05787054821848869
46602.042,398170385,301207209,0.95,345.59,0.025961510837078094
46702.042,398170385,301207209,1,345.57,0.025961510837078094
46802.042,398170386,301207209,1.03,345.59,0.03132092207670212
46902.042,398170386,301207209,1.01,345.6,0.03132092207670212
47002.042,398170386,301207209,1,345.59,0.03132092207670212
47102.042,398170386,301207208,1.01,345.58,0.030000001192092896
47202.042,398170385,301207208,1.01,345.58,0.09208691865205765
47302.042,398170385,301207208,0.99,345.55,0.09208691865205765
47402.042,398170384,301207208,0.96,345.52,0.049193501472473145
47502.042,398170384,301207208,0.91,345.51,0.049193501472473145
47602.042,398170384,301207207,0.91,345.49,0.00800000037997961
47702.042,398170384,301207207,0.9,345.48,0.00800000037997961
47802.042,398170384,301207207,0.9,345.47,0.11992081254720688
47902.042,398170384,301207207,0.9,345.47,0.11992081254720688
48002.042,398170384,301207207,0.9,345.47,0.11992081254720688
48102.042,398170385,301207207,0.93,345.47,0.03280244022607803
48202.042,398170386,301207207,0.9,345.47,0.04687216877937317
48302.042,398170386,301207207,0.91,345.46,0.04687216877937317
48402.042,398170385,301207208,0.91,345.48,0.023537205532193184
48502.042,398170385,301207208,0.96,345.51,0.023537205532193184
48602.042,398170386,301207208,0.97,345.51,0.009486833587288857
48702.042,398170386,301207208,0.95,345.51,0.009486833587288857
48802.042,398170386,301207208,1,345.51,0.009486833587288857
48902.042,398170386,301207208,1.02,345.51,0.009486833587288857
49002.042,398170386,301207208,0.98,345.5,0.009486833587288857
49102.042,398170386,301207208,0.88,345.47,0.02340940199792385
49202.042,398170386,301207207,0.91,345.43,0.03401470556855202
49302.042,398170386,301207207,0.99,345.41,0.03401470556855202
49402.042,398170386,301207207,0.97,345.42,0.03401470556855202
49502.042,398170386,301207208,0.94,345.42,0.034885529428720474
49602.042,398170387,301207208,0.99,345.43,0.0259422454982996
49702.042,398170387,301207208,1.01,345.42,0.0259422454982996
49802.042,398170387,301207208,0.94,345.39,0.05423098802566528
49902.042,398170387,301207208,0.89,345.38,0.05423098802566528
50002.042,398170387,301207208,0.96,345.38,0.05423098802566528
50102.042,398170387,301207208,0.97,345.39,0.0255538672208786
50202.042,398170386,301207208,0.91,345.4,0.08489994704723358
50302.042,398170386,301207208,0.88,345.39,0.08489994704723358
50402.042,398170386,301207209,0.94,345.39,0.03200000151991844
50502.042,398170386,301207209,0.89,345.36,0.03200000151991844
50602.042,398170386,301207209,0.79,345.33,0.03200000151991844
50702.042,398170385,301207209,0.8,345.36,0.05063595622777939
50802.042,398170385,301207209,0.88,345.41,0.05063595622777939
50902.042,398170385,301207209,0.94,345.4,0.025495100766420364
51002.042,398170385,301207209,0.98,345.39,0.025495100766420364
51102.042,398170385,301207210,0.98,345.41,0.019235385581851006
51202.042,398170384,301207210,0.96,345.46,0.013928388245403767
51302.042,398170384,301207210,0.94,345.4,0.013928388245403767
51402.042,398170384,301207210,0.94,345.35,0.013928388245403767
51502.042,398170384,301207210,0.97,345.34,0.0070710680447518826
51602.042,398170384,301207211,1.06,345.31,0.039115212857723236
51702.042,398170384,301207211,1.09,345.2,0.039115212857723236
51802.042,398170384,301207211,1.01,345.09,0.039115212857723236
51902.042,398170383,301207211,0.9,344.91,0.071867935359478
52002.042,398170383,301207211,0.85,344.8,0.071867935359478
52102.042,398170382,301207210,0.89,344.77,0.03101612627506256
52202.042,398170383,301207210,1.03,344.85,0.02529822289943695
52302.042,398170383,301207210,1.19,344.93,0.02529822289943695
52402.042,398170383,301207210,1.09,344.88,0.02529822289943695
52502.042,398170384,301207209,0.93,344.77,0.0868331789970398
52602.042,398170384,301207209,1.01,344.77,0.04119466245174408
52702.042,398170384,301207209,1.15,344.8,0.04119466245174408
52802.042,398170383,301207210,1.12,344.84,0.052430909126996994
