timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll
1064932.552,NaN,NaN,4.01
1065032.552,398171477,301204346,3.15
1065132.552,398171477,301204346,1.24
1065232.552,398171471,301204330,0.73
1065332.552,398171471,301204330,2.43
1065432.552,398171466,301204321,4.01
1065532.552,398171466,301204321,3.68
1065632.552,398171466,301204319,2.24
1065732.552,398171466,301204319,2.08
1065832.552,398171470,301204320,2.63
1065932.552,398171470,301204320,2.59
1066032.552,398171472,301204322,2.61
1066132.552,398171472,301204322,2.95
1066232.552,398171475,301204323,2.98
1066332.552,398171475,301204323,2.39
1066432.552,398171477,301204323,1.9
1066532.552,398171477,301204323,1.64
1066632.552,398171478,301204320,1.83
1066732.552,398171478,301204320,2.14
1066832.552,398171479,301204318,2.18
1066932.552,398171479,301204318,2.22
1067032.552,398171481,301204315,2.26
1067132.552,398171481,301204315,2.27
1067232.552,398171482,301204312,2.24
1067332.552,398171482,301204312,2.21
1067432.552,398171483,301204312,2.23
1067532.552,398171483,301204312,2.23
1067632.552,398171483,301204313,2.22
1067732.552,398171483,301204313,2.22
1067832.552,398171482,301204313,2.21
1067932.552,398171482,301204313,2.19
1068032.552,398171482,301204311,2.2
1068132.552,398171482,301204311,2.19
1068232.552,398171483,301204309,2.18
1068332.552,398171483,301204309,2.17
1068432.552,398171483,301204306,2.16
1068532.552,398171483,301204306,2.19
1068632.552,398171482,301204304,2.18
1068732.552,398171482,301204304,2.16
1068832.552,398171482,301204304,2.16
1068932.552,398171481,301204302,2.16
1069032.552,398171480,301204300,2.15
1069132.552,398171480,301204300,2.17
1069232.552,398171480,301204300,2.16
1069332.552,398171481,301204299,2.1
1069432.552,398171481,301204297,2.1
1069532.552,398171481,301204297,2.04
1069632.552,398171482,301204294,2.04
1069732.552,398171482,301204294,2.1
1069832.552,398171483,301204293,2.06
1069932.552,398171483,301204293,2.1
1070032.552,398171484,301204292,2.16
1070132.552,398171484,301204292,2.1
1070232.552,398171487,301204294,2.09
1070332.552,398171487,301204294,2.12
1070432.552,398171490,301204297,2.11
1070532.552,398171490,301204297,2.15
1070632.552,398171490,301204297,2.12
1070732.552,398171490,301204297,2.07
1070832.552,398171491,301204298,2.11
1070932.552,398171491,301204298,2.07
1071032.552,398171493,301204300,2.03
1071132.552,398171493,301204300,2.15
1071232.552,398171495,301204302,2.01
1071332.552,398171495,301204302,2.01
1071432.552,398171495,301204304,2.12
1071532.552,398171495,301204304,2.08
1071632.552,398171497,301204305,1.96
1071732.552,398171497,301204305,2.05
1071832.552,398171497,301204306,2.09
1071932.552,398171497,301204306,1.85
1072032.552,398171498,301204307,2.03
1072132.552,398171498,301204307,2
1072232.552,398171499,301204308,1.92
1072332.552,398171499,301204308,1.99
1072432.552,398171500,301204308,1.99
1072532.552,398171500,301204308,1.9
1072632.552,398171501,301204309,1.95
1072732.552,398171501,301204309,1.93
1072832.552,398171501,301204311,1.89
1072932.552,398171501,301204311,1.93
1073032.552,398171501,301204312,1.89
1073132.552,398171501,301204312,1.86
1073232.552,398171502,301204313,1.89
1073332.552,398171502,301204313,1.85
1073432.552,398171502,301204314,1.83
1073532.552,398171502,301204314,1.86
1073632.552,398171503,301204315,1.84
1073732.552,398171503,301204315,1.81
1073832.552,398171504,301204316,1.81
1073932.552,398171504,301204316,1.79
1074032.552,398171505,301204316,1.78
1074132.552,398171505,301204316,1.76
1074232.552,398171505,301204316,1.74
1074332.552,398171505,301204316,1.75
1074432.552,398171505,301204315,1.75
1074532.552,398171505,301204315,1.74
1074632.552,398171506,301204314,1.74
1074732.552,398171506,301204314,1.73
1074832.552,398171506,301204313,1.72
1074932.552,398171506,301204313,1.72
1075032.552,398171507,301204313,1.7
1075132.552,398171507,301204313,1.69
