timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll
44302.042,NaN,NaN,0.94
44402.042,398170384,301207208,0.98
44502.042,398170384,301207208,1.05
44602.042,398170385,301207207,1
44702.042,398170385,301207207,0.89
44802.042,398170384,301207209,0.91
44902.042,398170384,301207209,1.02
45002.042,398170384,301207209,1
45102.042,398170383,301207210,0.9
45202.042,398170384,301207209,0.91
45302.042,398170384,301207209,1.08
45402.042,398170384,301207209,1.17
45502.042,398170384,301207209,1.11
45602.042,398170384,301207209,1.05
45702.042,398170384,301207209,1.11
45802.042,398170385,301207208,1.16
45902.042,398170385,301207208,1.15
46002.042,398170385,301207208,1.1
46102.042,398170385,301207208,1.05
46202.042,398170385,301207208,1.04
46302.042,398170385,301207208,1
46402.042,398170385,301207208,0.98
46502.042,398170385,301207208,0.96
46602.042,398170385,301207209,0.95
46702.042,398170385,301207209,1
46802.042,398170386,301207209,1.03
46902.042,398170386,301207209,1.01
47002.042,398170386,301207209,1
47102.042,398170386,301207208,1.01
47202.042,398170385,301207208,1.01
47302.042,398170385,301207208,0.99
47402.042,398170384,301207208,0.96
47502.042,398170384,301207208,0.91
47602.042,398170384,301207207,0.91
47702.042,398170384,301207207,0.9
47802.042,398170384,301207207,0.9
47902.042,398170384,301207207,0.9
48002.042,398170384,301207207,0.9
48102.042,398170385,301207207,0.93
48202.042,398170386,301207207,0.9
48302.042,398170386,301207207,0.91
48402.042,398170385,301207208,0.91
48502.042,398170385,301207208,0.96
48602.042,398170386,301207208,0.97
48702.042,398170386,301207208,0.95
48802.042,398170386,301207208,1
48902.042,398170386,301207208,1.02
49002.042,398170386,301207208,0.98
49102.042,398170386,301207208,0.88
49202.042,398170386,301207207,0.91
49302.042,398170386,301207207,0.99
49402.042,398170386,301207207,0.97
49502.042,398170386,301207208,0.94
49602.042,398170387,301207208,0.99
49702.042,398170387,301207208,1.01
49802.042,398170387,301207208,0.94
49902.042,398170387,301207208,0.89
50002.042,398170387,301207208,0.96
50102.042,398170387,301207208,0.97
50202.042,398170386,301207208,0.91
50302.042,398170386,301207208,0.88
50402.042,398170386,301207209,0.94
50502.042,398170386,301207209,0.89
50602.042,398170386,301207209,0.79
50702.042,398170385,301207209,0.8
50802.042,398170385,301207209,0.88
50902.042,398170385,301207209,0.94
51002.042,398170385,301207209,0.98
51102.042,398170385,301207210,0.98
51202.042,398170384,301207210,0.96
51302.042,398170384,301207210,0.94
51402.042,398170384,301207210,0.94
51502.042,398170384,301207210,0.97
51602.042,398170384,301207211,1.06
51702.042,398170384,301207211,1.09
51802.042,398170384,301207211,1.01
51902.042,398170383,301207211,0.9
52002.042,398170383,301207211,0.85
52102.042,398170382,301207210,0.89
52202.042,398170383,301207210,1.03
52302.042,398170383,301207210,1.19
52402.042,398170383,301207210,1.09
52502.042,398170384,301207209,0.93
52602.042,398170384,301207209,1.01
52702.042,398170384,301207209,1.15
52802.042,398170383,301207210,1.12
52902.042,398170383,301207210,1.11
53002.042,398170383,301207210,1.12
53102.042,398170383,301207211,1.09
53202.042,398170384,301207211,1.06
53302.042,398170384,301207211,1.01
53402.042,398170385,301207211,0.93
53502.042,398170385,301207211,0.85
53602.042,398170386,301207212,0.91
53702.042,398170386,301207212,0.99
53802.042,398170386,301207212,0.96
53902.042,398170386,301207211,0.81
54002.042,398170386,301207211,0.79
54102.042,398170385,301207211,0.76
54202.042,398170385,301207211,0.8
54302.042,398170384,301207211,0.92
54402.042,398170384,301207211,0.84
54502.042,398170385,301207211,0.49
54602.042,398170385,301207211,0.28
54702.042,398170385,301207211,0.37
54802.042,398170385,301207211,0.79
54902.042,398170384,301207211,0.93
55002.042,398170384,301207211,0.97
55102.042,398170383,301207211,0.62
55202.042,398170383,301207210,0.63
55302.042,398170383,301207210,0.55
55402.042,398170384,301207210,0.74
55502.042,398170384,301207210,0.93
55602.042,398170383,301207211,0.71
55702.042,398170383,301207211,0.69
55802.042,398170383,301207211,0.54
55902.042,398170384,301207211,0.57
56002.042,398170384,301207211,0.4
56102.042,398170384,301207210,0.36
56202.042,398170384,301207210,0.6
56302.042,398170383,301207211,1.29
56402.042,398170382,301207211,1.6
56502.042,398170382,301207211,1.86
56602.042,398170381,301207211,2.04
56702.042,398170381,301207211,1.89
56802.042,398170382,301207212,1.53
56902.042,398170382,301207212,1.28
57002.042,398170382,301207212,1.45
57102.042,398170383,301207212,1.84
57202.042,398170383,301207212,2.02
57302.042,398170384,301207211,2.22
57402.042,398170384,301207211,2.34
57502.042,398170384,301207211,2.23
57602.042,398170385,301207210,2.08
57702.042,398170385,301207210,1.88
57802.042,398170385,301207210,1.81
57902.042,398170385,301207210,1.94
58002.042,398170385,301207210,2.02
58102.042,398170386,301207211,2.2
58202.042,398170386,301207211,2.28
58302.042,398170386,301207211,2.21
58402.042,398170386,301207211,2.17
58502.042,398170386,301207210,2.47
58602.042,398170386,301207210,2.74
58702.042,398170387,301207211,2.73
58802.042,398170388,301207213,2.53
58902.042,398170388,301207213,2.34
59002.042,398170388,301207213,2.25
59102.042,398170389,301207213,2.31
59202.042,398170389,301207213,2.36
59302.042,398170389,301207214,2.37
59402.042,398170389,301207214,2.56
59502.042,398170388,301207214,2.62
59602.042,398170388,301207214,2.6
59702.042,398170386,301207214,2.51
59802.042,398170386,301207214,2.44
59902.042,398170385,301207213,2.45
60002.042,398170385,301207213,2.53
60102.042,398170385,301207212,2.55
60202.042,398170385,301207212,2.49
60302.042,398170386,301207211,2.28
60402.042,398170386,301207211,2.15
60502.042,398170387,301207211,2.07
60602.042,398170387,301207211,2.13
60702.042,398170387,301207210,2.39
60802.042,398170387,301207210,2.58
60902.042,398170387,301207209,2.71
61002.042,398170387,301207209,2.67
61102.042,398170387,301207209,2.59
61202.042,398170387,301207209,2.54
61302.042,398170387,301207211,2.5
61402.042,398170387,301207212,2.56
61502.042,398170387,301207212,2.72
61602.042,398170387,301207212,2.82
61702.042,398170387,301207212,2.88
61802.042,398170388,301207213,2.9
61902.042,398170388,301207213,2.9
62002.042,398170388,301207213,2.86
62102.042,398170389,301207213,2.86
62202.042,398170387,301207213,2.91
62302.042,398170387,301207213,2.9
62402.042,398170386,301207213,2.89
62502.042,398170386,301207213,2.92
62602.042,398170386,301207213,2.9
62702.042,398170386,301207213,2.76
62802.042,398170386,301207213,2.69
62902.042,398170387,301207214,2.68
63002.042,398170387,301207214,2.73
63102.042,398170387,301207214,2.78
63202.042,398170387,301207214,2.84
63302.042,398170386,301207214,2.9
63402.042,398170387,301207214,2.86
63502.042,398170387,301207214,2.89
63602.042,398170387,301207214,2.94
63702.042,398170387,301207214,2.89
63802.042,398170388,301207213,2.87
63902.042,398170388,301207213,2.82
64002.042,398170388,301207213,2.88
64102.042,398170388,301207213,3.14
64202.042,398170388,301207213,3.24
64302.042,398170388,301207214,3.02
64402.042,398170387,301207215,2.86
64502.042,398170387,301207215,2.82
64602.042,398170386,301207215,2.83
64702.042,398170386,301207215,2.91
64802.042,398170386,301207215,3.05
64902.042,398170386,301207215,3.08
65002.042,398170386,301207215,2.96
65102.042,398170386,301207215,2.94
65202.042,398170386,301207215,2.82
65302.042,398170386,301207216,2.61
65402.042,398170386,301207214,2.54
65502.042,398170386,301207214,2.6
65602.042,398170386,301207214,2.64
65702.042,398170386,301207214,2.72
65802.042,398170386,301207214,2.74
65902.042,398170387,301207215,2.89
66002.042,398170387,301207215,3
66102.042,398170386,301207215,2.91
66202.042,398170386,301207215,2.77
66302.042,398170386,301207215,2.68
66402.042,398170386,301207215,2.73
66502.042,398170386,301207215,3
66602.042,398170386,301207215,3.24
66702.042,398170386,301207215,3.34
66802.042,398170386,301207215,3.25
66902.042,398170386,301207215,3
67002.042,398170386,301207215,2.74
67102.042,398170385,301207215,2.55
67202.042,398170386,301207215,2.61
67302.042,398170386,301207215,2.78
67402.042,398170386,301207215,2.91
67502.042,398170386,301207215,3.14
67602.042,398170386,301207215,3.23
67702.042,398170386,301207215,3.11
67802.042,398170386,301207216,2.88
67902.042,398170386,301207216,2.57
68002.042,398170386,301207216,2.46
68102.042,398170386,301207216,2.49
68202.042,398170386,301207217,2.67
68302.042,398170386,301207217,2.97
68402.042,398170386,301207216,3.02
68502.042,398170386,301207216,2.9
68602.042,398170386,301207217,2.82
68702.042,398170386,301207217,2.82
68802.042,398170385,301207217,2.84
