timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll
86865.424,369374948,355633229,-0.019999999999999997
86965.424,369374948,355633229,-0.1
87065.424,369374949,355633228,-0.13
87165.424,369374949,355633228,-0.09
87265.424,369374949,355633228,-0.11
87365.424,369374949,355633228,-0.16
87465.424,369374949,355633228,-0.17
87565.424,369374949,355633228,-0.09
87665.424,369374950,355633229,0.09
87765.424,369374950,355633229,0.06
87865.424,369374951,355633228,-0.12
87965.424,369374951,355633228,-0.15
88065.424,369374950,355633227,-0.04
88165.424,369374950,355633227,0.01
88265.424,369374950,355633226,0.03
88365.424,369374950,355633226,-0.02
88465.424,369374950,355633227,-0.1
88565.424,369374950,355633227,-0.11
88665.424,369374949,355633228,0
88765.424,369374949,355633228,0.08
88865.424,369374947,355633228,-0.05999999999999999
88965.424,369374947,355633228,-0.2
89065.424,369374947,355633228,-0.2
89165.424,369374946,355633227,-0.1
89265.424,369374946,355633227,-0.05
89365.424,369374946,355633227,-0.13
89465.424,369374945,355633227,-0.14
89565.424,369374945,355633227,-0.039999999999999994
89665.424,369374945,355633226,-0.07
89765.424,369374945,355633226,-0.21
89865.424,369374944,355633226,-0.29
89965.424,369374944,355633226,-0.15999999999999998
90065.424,369374943,355633226,0.11
90165.424,369374943,355633226,0.17
90265.424,369374942,355633227,-0.10999999999999999
90365.424,369374942,355633227,-0.29
90465.424,369374940,355633227,-0.44
90565.424,369374940,355633227,-0.45
90665.424,369374938,355633226,-0.4
90765.424,369374938,355633226,-0.31
90865.424,369374938,355633225,-0.020000000000000004
90965.424,369374938,355633225,0.05
91065.424,369374937,355633225,-0.09
91165.424,369374937,355633225,-0.2
91265.424,369374936,355633223,-0.53
91365.424,369374936,355633223,-0.61
91465.424,369374935,355633222,-0.26
91565.424,369374935,355633222,0.06000000000000001
91665.424,369374935,355633222,-0.47
91765.424,369374935,355633222,-1.17
91865.424,369374934,355633222,-1.08
91965.424,369374934,355633222,-0.52
92065.424,369374933,355633221,-0.039999999999999994
92165.424,369374933,355633221,-0.13
92265.424,369374935,355633221,-0.57
92365.424,369374935,355633221,-0.89
92465.424,369374935,355633221,-1.16
92565.424,369374935,355633221,-1.06
92665.424,369374935,355633220,-0.9
92765.424,369374935,355633220,-0.81
92865.424,369374934,355633220,-0.48
92965.424,369374934,355633220,-0.21000000000000002
