timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll
327855.219,NaN,NaN,3.1
327955.219,398177891,301202347,3.09
328055.219,398177891,301202347,3.09
328155.219,398177891,301202348,3.11
328255.219,398177891,301202348,3.11
328355.219,398177892,301202350,3.1
328455.219,398177892,301202350,3.12
328555.219,398177892,301202350,3.13
328655.219,398177892,301202351,3.13
328755.219,398177892,301202351,3.12
328855.219,398177892,301202351,3.13
328955.219,398177892,301202353,3.13
329055.219,398177892,301202353,3.13
329155.219,398177893,301202354,3.11
329255.219,398177893,301202354,3.08
329355.219,398177893,301202355,3.09
329455.219,398177893,301202355,3.09
329555.219,398177893,301202355,3.11
329655.219,398177893,301202357,3.13
329755.219,398177893,301202357,3.13
329855.219,398177893,301202357,3.13
329955.219,398177894,301202359,3.14
330055.219,398177894,301202359,3.11
330155.219,398177894,301202361,3.11
330255.219,398177894,301202361,3.11
330355.219,398177895,301202362,3.11
330455.219,398177895,301202362,3.13
330555.219,398177895,301202363,3.13
330655.219,398177895,301202363,3.09
330755.219,398177895,301202362,3.08
330855.219,398177895,301202360,3.08
330955.219,398177895,301202360,3.08
331055.219,398177896,301202358,3.09
331155.219,398177896,301202358,3.11
331255.219,398177897,301202357,3.11
331355.219,398177897,301202357,3.11
331455.219,398177897,301202357,3.12
331555.219,398177897,301202357,3.11
331655.219,398177898,301202356,3.08
331755.219,398177898,301202356,3.11
331855.219,398177898,301202355,3.1
331955.219,398177898,301202355,3.1
332055.219,398177898,301202355,3.12
332155.219,398177899,301202353,3.14
332255.219,398177899,301202353,3.13
332355.219,398177899,301202353,3.12
332455.219,398177899,301202353,3.13
332555.219,398177899,301202353,3.14
332655.219,398177899,301202353,3.16
332755.219,398177899,301202352,3.17
332855.219,398177899,301202352,3.17
332955.219,398177899,301202352,3.17
333055.219,398177899,301202352,3.16
333155.219,398177899,301202352,3.17
333255.219,398177899,301202352,3.16
333355.219,398177900,301202351,3.15
333455.219,398177900,301202351,3.19
333555.219,398177901,301202351,3.18
333655.219,398177901,301202351,3.18
333755.219,398177902,301202353,3.17
333855.219,398177903,301202355,3.19
333955.219,398177903,301202355,3.21
334055.219,398177903,301202355,3.15
334155.219,398177905,301202356,3.13
334255.219,398177906,301202357,3.16
334355.219,398177906,301202357,3.18
334455.219,398177906,301202357,3.16
334555.219,398177906,301202357,3.14
334655.219,398177906,301202357,3.14
334755.219,398177906,301202357,3.12
334855.219,398177907,301202357,3.17
334955.219,398177907,301202357,3.18
335055.219,398177908,301202358,3.12
335155.219,398177908,301202358,3.14
335255.219,398177908,301202358,3.17
335355.219,398177908,301202358,3.18
335455.219,398177908,301202358,3.17
335555.219,398177908,301202358,3.16
335655.219,398177909,301202359,3.18
335755.219,398177909,301202359,3.2
335855.219,398177909,301202360,3.2
