timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll,AHR2.Yaw,GPS[0].Spd
20367.678,369372876,355633012,0.09,192.21,0.03661966696381569
20467.678,369372876,355633012,0.06,192.24,0.03661966696381569
20567.678,369372874,355633013,0.06,192.27,0.08431489020586014
20667.678,369372874,355633013,0.07,192.3,0.08431489020586014
20767.678,369372874,355633013,0.07,192.34,0.037443291395902634
20867.678,369372874,355633013,0.06,192.36,0.037443291395902634
20967.678,369372869,355633011,0.08,192.39,0.025612497702240944
21067.678,369372869,355633011,0.09,192.4,0.025612497702240944
21167.678,369372867,355633013,0.07,192.43,0.02121320553123951
21267.678,369372867,355633013,0.07,192.46,0.02121320553123951
21367.678,369372865,355633014,0.07,192.48,0.03689173609018326
21467.678,369372865,355633014,0.07,192.51,0.03689173609018326
21567.678,369372865,355633014,0.07,192.55,0.02500000037252903
21667.678,369372865,355633014,0.06,192.58,0.02500000037252903
21767.678,369372865,355633014,0.07,192.62,0.10104455053806305
21867.678,369372865,355633014,0.08,192.65,0.10104455053806305
21967.678,369372865,355633014,0.1,192.7,0.10104455053806305
22067.678,369372866,355633012,0.11,192.72,0.027658633887767792
22167.678,369372865,355633012,0.12,192.71,0.06363175809383392
22267.678,369372865,355633012,0.11,192.73,0.06363175809383392
22367.678,369372865,355633012,0.09,192.75,0.03106445074081421
22467.678,369372865,355633012,0.09,192.75,0.03106445074081421
22567.678,369372865,355633013,0.08,192.74,0.019209373742341995
22667.678,369372865,355633013,0.08,192.75,0.019209373742341995
22767.678,369372865,355633012,0.03,192.77,0.04792702943086624
22867.678,369372865,355633012,0.01,192.79,0.04792702943086624
22967.678,369372866,355633009,0.029999999999999992,192.82,0.04609772190451622
23067.678,369372866,355633009,0.05,192.8,0.04609772190451622
23167.678,369372865,355633009,0.06,192.77,0.0430116280913353
23267.678,369372865,355633009,0.07,192.76,0.0430116280913353
23367.678,369372864,355633010,0.05,192.75,0.06184658780694008
23467.678,369372864,355633010,0.07,192.76,0.06184658780694008
23567.678,369372864,355633009,0.1,192.73,0.04534313827753067
23667.678,369372864,355633009,0.08,192.73,0.04534313827753067
23767.678,369372865,355633009,0.08,192.7,0.041109610348939896
23867.678,369372865,355633009,0.06,192.67,0.041109610348939896
23967.678,369372870,355633006,0.07,192.61,0.05780138447880745
24067.678,369372870,355633006,0.09,192.57,0.05780138447880745
24167.678,369372872,355633006,0.08,192.57,0.08868484199047089
24267.678,369372872,355633006,0.14,192.53,0.08868484199047089
24367.678,369372873,355633006,0.17,192.48,0.12116517871618271
24467.678,369372873,355633006,0.14,192.48,0.12116517871618271
24567.678,369372872,355633005,0.09,192.51,0.018027756363153458
24667.678,369372872,355633005,0.06,192.53,0.018027756363153458
24767.678,369372873,355633004,0.06,192.54,0.01835756003856659
24867.678,369372873,355633004,0.05,192.52,0.01835756003856659
24967.678,369372872,355633003,0,192.5,0.027658633887767792
25067.678,369372872,355633003,0,192.5,0.027658633887767792
25167.678,369372870,355633004,-0.08,192.53,0.0843445360660553
25267.678,369372870,355633004,-0.12,192.46,0.0843445360660553
25367.678,369372871,355633005,-0.19,192.37,0.052430909126996994
25467.678,369372871,355633005,-0.24,192.43,0.052430909126996994
25567.678,369372869,355633006,-0.38,192.49,0.019416488707065582
25667.678,369372869,355633006,-0.45,192.51,0.019416488707065582
25767.678,369372868,355633006,-0.6,192.49,0.10295630991458893
25867.678,369372868,355633006,-0.61,192.47,0.10295630991458893
25967.678,369372864,355633004,-0.61,192.36,0.08709190785884857
26067.678,369372864,355633004,-0.63,192.29,0.08709190785884857
26167.678,369372861,355633006,-0.8,192.24,0.01612451672554016
26267.678,369372861,355633006,-0.92,192.3,0.01612451672554016
26367.678,369372860,355633007,-1.05,192.36,0.062225401401519775
26467.678,369372860,355633007,-1.29,192.33,0.062225401401519775
26567.678,369372860,355633006,-1.51,192.21,0.06545991450548172
26667.678,369372860,355633006,-1.65,192.08,0.06545991450548172
26767.678,369372860,355633008,-1.76,192,0.0573149211704731
26867.678,369372860,355633008,-1.74,192.02,0.0573149211704731
26967.678,369372853,355633009,-1.67,192.03,0.04525483772158623
27067.678,369372853,355633009,-1.7,192.01,0.04525483772158623
27167.678,369372849,355633010,-1.68,192,0.05547071620821953
27267.678,369372849,355633010,-1.58,191.98,0.05547071620821953
27367.678,369372849,355633010,-1.53,192,0.05547071620821953
27467.678,369372849,355633011,-1.49,192.05,0.03920459374785423
27567.678,369372847,355633011,-1.35,192.12,0.026476405560970306
27667.678,369372847,355633011,-1.31,192.13,0.026476405560970306
27767.678,369372849,355633011,-1.36,192.11,0.04386342689394951
27867.678,369372849,355633011,-1.4,192.11,0.04386342689394951
27967.678,369372845,355633011,-1.24,192.13,0.04219004884362221
28067.678,369372845,355633011,-1.09,192.21,0.04219004884362221
28167.678,369372843,355633012,-0.74,192.37,0.012083047069609162
28267.678,369372843,355633012,-0.59,192.49,0.012083047069609162
28367.678,369372843,355633012,-0.61,192.64,0.012083047069609162
28467.678,369372842,355633012,-0.66,192.62,0.03801315650343895
28567.678,369372840,355633014,-0.68,192.5,0.03312098979949951
28667.678,369372840,355633014,-0.7,192.44,0.03312098979949951
28767.678,369372840,355633012,-0.73,192.46,0.14611297845840454
28867.678,369372840,355633012,-0.7,192.5,0.14611297845840454
28967.678,369372838,355633015,-0.56,192.53,0.11677757650613785
29067.678,369372838,355633015,-0.5,192.53,0.11677757650613785
