timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll,AHR2.Yaw,GPS[0].Spd
92769.17,NaN,NaN,1.08,186.83,NaN
92869.17,NaN,NaN,1.05,186.84,NaN
92969.17,369371337,355632661,0.98,186.81,0.051078375428915024
93069.17,369371337,355632661,0.86,186.78,0.051078375428915024
93169.17,369371337,355632662,0.86,186.78,0.014142136089503765
93269.17,369371337,355632662,1.12,186.82,0.014142136089503765
93369.17,369371337,355632662,1.32,186.97,0.0684470608830452
93469.17,369371337,355632662,1.25,187.01,0.0684470608830452
93569.17,369371337,355632662,1.07,186.85,0.012529964558780193
93669.17,369371337,355632662,1,186.74,0.012529964558780193
93769.17,369371337,355632661,0.95,186.78,0.07629548013210297
93869.17,369371337,355632661,1.15,186.88,0.07629548013210297
93969.17,369371337,355632661,1.65,187.05,0.04904080182313919
94069.17,369371337,355632661,1.81,187.12,0.04904080182313919
94169.17,369371337,355632661,1.75,187.18,0.030083218589425087
94269.17,369371337,355632661,1.62,187.14,0.030083218589425087
94369.17,369371337,355632661,1.57,187.08,0.047010637819767
94469.17,369371337,355632661,1.47,187.08,0.047010637819767
94569.17,369371336,355632661,1.23,187.03,0.022203605622053146
94669.17,369371336,355632661,1.15,186.96,0.022203605622053146
94769.17,369371336,355632662,1.3,186.96,0.0538516491651535
94869.17,369371336,355632662,1.43,187.09,0.0538516491651535
94969.17,369371335,355632661,1.64,187.25,0.035171013325452805
95069.17,369371335,355632661,1.69,187.25,0.035171013325452805
95169.17,369371335,355632660,1.53,187.19,0.03413209691643715
95269.17,369371335,355632660,1.41,187.1,0.03413209691643715
95369.17,369371335,355632660,1.32,187.09,0.03701351210474968
95469.17,369371335,355632660,1.42,187.12,0.03701351210474968
95569.17,369371335,355632660,1.59,187.21,0.02692582458257675
95669.17,369371335,355632660,1.67,187.28,0.02692582458257675
95769.17,369371335,355632661,1.77,187.39,0.032893769443035126
95869.17,369371335,355632661,1.85,187.51,0.032893769443035126
95969.17,369371335,355632661,1.99,187.58,0.03649657592177391
96069.17,369371335,355632661,1.94,187.51,0.03649657592177391
96169.17,369371336,355632661,1.77,187.39,0.02416609413921833
96269.17,369371336,355632661,1.69,187.36,0.02416609413921833
96369.17,369371336,355632662,1.61,187.39,0.04850773140788078
96469.17,369371336,355632662,1.68,187.41,0.04850773140788078
96569.17,369371335,355632662,1.83,187.47,0.019416488707065582
96669.17,369371335,355632662,1.92,187.51,0.019416488707065582
96769.17,369371335,355632663,2.1,187.58,0.030083218589425087
96869.17,369371335,355632663,1.99,187.63,0.030083218589425087
96969.17,369371335,355632663,1.62,187.58,0.033526111394166946
97069.17,369371335,355632663,1.49,187.44,0.033526111394166946
97169.17,369371335,355632663,1.65,187.32,0.024698181077837944
97269.17,369371335,355632663,1.7,187.43,0.024698181077837944
97369.17,369371336,355632663,1.46,187.56,0.025455845519900322
97469.17,369371336,355632663,1.31,187.44,0.025455845519900322
97569.17,369371335,355632662,1.32,187.16,0.05636488273739815
97669.17,369371335,355632662,1.57,187.14,0.05636488273739815
97769.17,369371335,355632662,2.37,187.54,0.025317978113889694
97869.17,369371335,355632662,2.71,187.93,0.025317978113889694
97969.17,369371335,355632661,2.27,188.24,0.026305893436074257
98069.17,369371335,355632661,2.07,188.08,0.026305893436074257
98169.17,369371334,355632661,2.18,187.68,0.006324555724859238
98269.17,369371334,355632661,2.15,187.65,0.006324555724859238
98369.17,369371334,355632662,2.03,187.89,0.03206244111061096
98469.17,369371334,355632662,2.17,187.95,0.03206244111061096
98569.17,369371334,355632661,2.39,187.86,0.02147091180086136
98669.17,369371334,355632661,2.12,187.87,0.02147091180086136
98769.17,369371333,355632661,1.84,187.91,0.004999999888241291
98869.17,369371333,355632661,1.87,187.86,0.004999999888241291
98969.17,369371332,355632660,2.05,187.82,0.03931920602917671
99069.17,369371332,355632660,1.91,187.88,0.03931920602917671
99169.17,369371332,355632660,2.11,187.87,0.0505964457988739
99269.17,369371332,355632660,2.34,187.83,0.0505964457988739
99369.17,369371331,355632660,3.03,187.97,0.10056838393211365
99469.17,369371331,355632660,3.13,188.21,0.10056838393211365
99569.17,369371329,355632659,2.92,188.56,0.054708320647478104
99669.17,369371329,355632659,2.7,188.53,0.054708320647478104
99769.17,369371328,355632658,2.73,188.18,0.044418469071388245
