timestamp(ms),GPS[0].Lat,GPS[0].Lng,ATT.Roll
644747.079,NaN,NaN,-0.49
644847.079,369374092,355633878,-0.61
644947.079,369374112,355633883,-0.69
645047.079,369374112,355633883,-0.72
645147.079,369374116,355633887,-0.85
645247.079,369374116,355633887,-0.87
645347.079,369374118,355633888,-0.57
645447.079,369374118,355633888,-0.39
645547.079,369374118,355633889,-0.46
645647.079,369374118,355633889,-0.67
645747.079,369374118,355633889,-0.68
645847.079,369374118,355633890,-0.72
645947.079,369374121,355633892,-0.8
646047.079,369374121,355633892,-0.84
646147.079,369374122,355633893,-0.81
646247.079,369374122,355633893,-0.83
646347.079,369374121,355633891,-0.9
646447.079,369374121,355633891,-0.95
646547.079,369374121,355633891,-0.97
646647.079,369374121,355633892,-0.95
646747.079,369374121,355633892,-0.8
646847.079,369374121,355633892,-0.7
646947.079,369374140,355633891,-0.77
647047.079,369374140,355633891,-0.85
647147.079,369374139,355633890,-0.92
647247.079,369374139,355633890,-0.95
647347.079,369374139,355633889,-0.89
647447.079,369374139,355633889,-0.83
647547.079,369374138,355633888,-0.73
647647.079,369374138,355633888,-0.67
647747.079,369374138,355633888,-0.75
647847.079,369374138,355633888,-0.81
647947.079,369374139,355633890,-0.8
648047.079,369374139,355633890,-0.75
648147.079,369374139,355633891,-0.74
648247.079,369374139,355633891,-0.79
648347.079,369374139,355633890,-0.91
648447.079,369374139,355633890,-0.96
648547.079,369374140,355633890,-0.95
648647.079,369374140,355633890,-0.85
648747.079,369374140,355633890,-0.83
648847.079,369374139,355633891,-0.87
648947.079,369374135,355633896,-0.77
649047.079,369374135,355633896,-0.83
649147.079,369374135,355633896,-1.06
649247.079,369374135,355633896,-1.17
649347.079,369374134,355633896,-0.73
649447.079,369374134,355633896,-0.6
649547.079,369374135,355633896,-0.63
649647.079,369374135,355633896,-0.73
649747.079,369374135,355633896,-1.02
649847.079,369374135,355633895,-1.15
649947.079,369374138,355633888,-1.05
650047.079,369374138,355633888,-1.03
650147.079,369374137,355633886,-1.17
650247.079,369374137,355633886,-1.28
650347.079,369374135,355633887,-1.15
650447.079,369374135,355633887,-1.04
650547.079,369374135,355633887,-1.2
650647.079,369374136,355633887,-1.47
650747.079,369374136,355633887,-1.42
650847.079,369374135,355633886,-1.46
650947.079,369374141,355633887,-1.88
651047.079,369374141,355633887,-1.74
651147.079,369374139,355633882,-0.88
651247.079,369374139,355633882,0.51
651347.079,369374144,355633879,1.25
651447.079,369374144,355633879,1.48
651547.079,369374139,355633873,1.88
651647.079,369374139,355633873,2.95
651747.079,369374139,355633873,3.65
651847.079,369374136,355633864,3.84
651947.079,369374151,355633842,3.7
652047.079,369374151,355633842,3.35
652147.079,369374159,355633829,3.04
652247.079,369374159,355633829,2.97
652347.079,369374165,355633809,3.17
652447.079,369374165,355633809,3.34
652547.079,369374162,355633801,3.44
652647.079,369374162,355633801,3.37
652747.079,369374162,355633801,2.87
652847.079,369374162,355633790,2.43
652947.079,369374176,355633800,1.92
653047.079,369374176,355633800,1.47
653147.079,369374180,355633800,0.88
653247.079,369374180,355633800,0.25
653347.079,369374177,355633799,-0.030000000000000006
653447.079,369374177,355633799,-0.35
653547.079,369374179,355633801,-0.93
653647.079,369374179,355633801,-1.84
653747.079,369374179,355633801,-2
653847.079,369374182,355633807,-1.53
653947.079,369374176,355633813,-0.61
654047.079,369374176,355633813,-0.32
654147.079,369374175,355633811,-0.17
654247.079,369374175,355633811,0.27
654347.079,369374174,355633811,1
654447.079,369374174,355633811,1.35
654547.079,369374174,355633812,1.63
654647.079,369374174,355633812,1.66
654747.079,369374174,355633812,1.6
654847.079,369374174,355633814,1.39
654947.079,369374178,355633815,0.63
655047.079,369374178,355633815,0.51
655147.079,369374181,355633814,0.51
655247.079,369374181,355633814,0.2
655347.079,369374182,355633814,-0.12
655447.079,369374182,355633814,-0.26
655547.079,369374182,355633813,-0.36
655647.079,369374182,355633813,-0.4
655747.079,369374182,355633813,-0.34
655847.079,369374177,355633818,-0.32
655947.079,369374180,355633811,-0.35
656047.079,369374180,355633811,-0.39
656147.079,369374183,355633810,-0.48
656247.079,369374183,355633810,-0.6
656347.079,369374186,355633812,-0.5
656447.079,369374186,355633812,-0.41
656547.079,369374188,355633811,-0.37
656647.079,369374188,355633811,-0.38
656747.079,369374188,355633812,-0.48
656847.079,369374188,355633812,-0.49
656947.079,369374184,355633809,-0.35
657047.079,369374184,355633809,-0.31
657147.079,369374182,355633807,-0.42
657247.079,369374182,355633807,-0.61
657347.079,369374181,355633811,-0.54
657447.079,369374181,355633811,-0.54
657547.079,369374183,355633808,-0.67
657647.079,369374183,355633808,-0.62
657747.079,369374183,355633808,-0.28
657847.079,369374180,355633801,-0.21
657947.079,369374182,355633806,-0.49
658047.079,369374182,355633806,-0.74
658147.079,369374184,355633808,-0.74
658247.079,369374184,355633808,-0.45
658347.079,369374184,355633806,-0.45
658447.079,369374184,355633806,-0.57
658547.079,369374184,355633805,-0.58
658647.079,369374184,355633805,-0.53
658747.079,369374184,355633805,-0.6
658847.079,369374185,355633808,-0.62
658947.079,369374184,355633805,-0.56
659047.079,369374184,355633805,-0.54
659147.079,369374186,355633806,-0.6
659247.079,369374186,355633806,-0.64
659347.079,369374187,355633808,-0.54
659447.079,369374187,355633808,-0.38
659547.079,369374187,355633806,-0.36
659647.079,369374187,355633806,-0.44
659747.079,369374187,355633806,-0.57
659847.079,369374188,355633805,-0.5
659947.079,369374188,355633808,-0.29
660047.079,369374188,355633808,-0.25
660147.079,369374188,355633807,-0.35
660247.079,369374188,355633807,-0.44
660347.079,369374188,355633808,-0.37
660447.079,369374188,355633808,-0.39
660547.079,369374190,355633807,-0.41
660647.079,369374190,355633807,-0.39
660747.079,369374188,355633805,-0.45
660847.079,369374188,355633805,-0.52
660947.079,369374187,355633804,-0.51
661047.079,369374187,355633804,-0.5
661147.079,369374187,355633803,-0.59
661247.079,369374187,355633803,-0.76
661347.079,369374186,355633809,-0.57
661447.079,369374186,355633809,-0.44
661547.079,369374188,355633808,-0.39
661647.079,369374188,355633808,-0.44
661747.079,369374188,355633808,-0.6
661847.079,369374189,355633808,-0.61
661947.079,369374191,355633808,-0.51
662047.079,369374191,355633808,-0.47
662147.079,369374191,355633807,-0.49
662247.079,369374191,355633807,-0.64
662347.079,369374189,355633807,-0.63
662447.079,369374189,355633807,-0.47
662547.079,369374191,355633808,-0.42
662647.079,369374191,355633808,-0.62
662747.079,369374192,355633808,-0.8
662847.079,369374192,355633808,-0.7
662947.079,369374195,355633811,-0.58
663047.079,369374195,355633811,-0.65
663147.079,369374198,355633809,-0.67
663247.079,369374198,355633809,-0.6
663347.079,369374194,355633808,-0.63
663447.079,369374194,355633808,-0.84
663547.079,369374195,355633808,-0.98
663647.079,369374195,355633808,-0.86
663747.079,369374196,355633810,-0.58
663847.079,369374196,355633810,-0.56
663947.079,369374196,355633812,-0.67
664047.079,369374196,355633812,-0.57
664147.079,369374197,355633812,-0.46
664247.079,369374197,355633812,-0.48
664347.079,369374194,355633812,-0.3
664447.079,369374194,355633812,-0.2
664547.079,369374193,355633814,-0.18
664647.079,369374193,355633814,-0.12
664747.079,369374193,355633814,-0.22
664847.079,369374193,355633814,-0.44
664947.079,369374196,355633814,-0.76
665047.079,369374196,355633814,-0.73
665147.079,369374196,355633814,-0.58
665247.079,369374196,355633814,-0.23
665347.079,369374196,355633815,-0.13
665447.079,369374196,355633815,-0.23
665547.079,369374195,355633814,-0.42
665647.079,369374195,355633814,-0.78
665747.079,369374195,355633814,-0.73
665847.079,369374195,355633814,-0.45
665947.079,369374197,355633817,-0.32
666047.079,369374197,355633817,-0.47
666147.079,369374196,355633816,-0.62
666247.079,369374196,355633816,-0.6
666347.079,369374196,355633815,-0.57
666447.079,369374196,355633815,-0.69
666547.079,369374196,355633815,-0.68
666647.079,369374196,355633815,-0.36
666747.079,369374196,355633815,-0.29
666847.079,369374198,355633816,-0.41
666947.079,369374198,355633817,-0.55
667047.079,369374198,355633817,-0.56
667147.079,369374198,355633818,-0.48
